Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Engineer,-1,"Business:

Navis

Job Function:

Engineering

Location:

Chennai, IN



Senior Data Engineer

Purpose of the position
The people at Navis are passionate about solving the most challenging problems in the ocean supply chain. We are both technology innovators pioneering the future of productivity and shipping industry experts who are deeply involved in our customers’ operations. We are looking for a Data Engineers to help our customers get maximum value from our BI Solutions. This includes analysing large amounts of raw information to find patterns that will help our customers improve their operations. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine learning and research.
Job Responsiblities
Migrate data between different databases of our BI solutions
Help deploy, configure, and customize our BI solutions for our customers
Analyze large amounts of information to discover trends and patterns
Ability to bring different sources of data together to deliver insights
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Required Qualification
Strong background in databases, ETL, data streaming to the cloud, and data visualization
Proficient with Microsoft Power BI
Experience with Birst, Kafka, Pentaho Kettle is a Plus
Experience with Navis N4 and Navis XPS is a Plus
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Excellent communication and presentation skills
Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Willing to travel 25% of the time to customer sites around the globe
Interested to join?
At Navis you will find a rewarding career where you can thrive at every level. We invest in our teammates through offering competitive compensation and benefits, progressive training opportunities that empower employees to achieve total (physical, financial, social & community) wellbeing. In addition to challenging and meaningful work, you will find a strong work-life balance and a deep commitment to developing you. Navis’ culture thrives on teamwork and diversity. So, bring your unique perspective and talent to Navis and thrive in your every work day!

Navis LLC is an equal opportunity employer, committed to a diverse and inclusive workforce. All qualified applicants shall receive consideration for employment without regard to race, color, religious creed, sex, national origin, ancestry, age, physical or mental disability, or sexual orientation.",4.1,"Navis LLC
4.1",Chennai,501 to 1000 Employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist,-1,"Our Purpose and Challenges
With over 47% market-share, MakeMyTrip is India’s first and biggest travel company. In fact, one in every four passengers at an airport is our customer. Driven by the desire to provide an exceptional travel experience for our customers, we have continuously stayed ahead of the curve by developing technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.

We are currently solving multiple challenging problems, including -
How to bring the next 100 million users to our platform?
How to leverage customer insights to create a truly personalised experience for users?
How to create a delightful experience for our users, to make travel synonymous to MMT?

If this excites you, join us for a rewarding, fulfilling and enriching career.
“Not only do we make the best trips for our customers, we also promise the trip of a lifetime to our employees! Everyday, our teams solve challenging problems for millions of users by leveraging the latest technology, while having loads of fun. Every day is a new trip for them, and that is precisely why we call them Trippers!”
Sanjay Mohan, Group CTO, MakeMyTrip
About the opportunity
What you’ll be doing:
Build mathematical models to be deployed in the travel e-commerce funnel (selling hotels, flights, holidays etc.) for improving customer experience and operational efficiency.
Work with product management to translate business problems into machine learning problems
Explore data and communicate insights clearly to various stakeholders
Work with Engineering teams to improve data quality
Analyze experimental results, iterate and refine models to create significant business impact
What you’ll bring to the team:
Curiosity to analyze and uncover insights from data that are relevant to the business
Mathematical background in probability, statistics and linear algebra at a level required to explain the conceptual foundations of common supervised and unsupervised machine learning algorithms
Fluent with the Python ML stack: Pandas, Numpy, Matplotlib
Fluent in SQL
Computer science background (at the level of data structures & algorithms) is desirable
2+ years of production Machine Learning experience in the industry

Interview Process & Prep Notes
Coding Assessment
Basic Coding, Algorithm, Machine Learning, SQL
ML foundations, probability & statistics questions, Python programming fluency Data structures and Algorithms have stood the test of time and have helped us solve our daily engineering problems. Binary Tree, Linked List, Algorithm Design, Dynamic Programming, Graphs are our best friends. Along with that, It is important for any data enthusiast to be able to work with unstructured data, whether it is from social media, video feeds or audio.
Model building
Data Modelling, Data Ingestion, Data Pipelining, Build Data Set
A big part of data science modelling involves evaluating a model, for example, making sure that it is robust and therefore reliable. Also, data science modelling is closely linked to creating an information rich feature set. In-depth testing using sensitivity analysis, specialised sampling, and various aspects of model performance (as well as tweaking the model to optimize for a particular performance metric) are parts of data science that we expect you to know. Demonstrate your ability to explain the results and plan next steps
Machine Learning Assesment
Machine Learning Models, Linear Regression, Decision Tree,Neural Networks,Bayesian Networks
No one can deny the fact that as practicing Data Scientists, you will have to know basics of some common machine learning algorithms, which would help you tackle new age problems we come across.
Past Projects
Projects Overview, Problem solving, Statistics & Puzzle Questions
Tell us how you designed and deployed various data science techniques to get to the accuracy you aimed for. We want to know more about your contribution and specific technologies you used.
Team Fitment
Behavioural Assessment, Culture Fit, Project Knowledge, Role Operation
Be yourself. It works out better for everyone if we're genuine and can see if we're a cultural fit for each other. Everyone here is focused on our mission, so you should figure out what it is.
Learning & Growth
All Trippers get instant access to learning academies, e-learning portals like Udemy, Codeacademy etc, education loans, sponsorship for conferences, skill development programs, and much more. Not to mention the incredible learning opportunity you will undoubtedly receive from working with leaders and colleagues that are at the top of their game!
Learning Academies
Continuous Education Scheme
Conferences
Peer Learning",4.2,"MakeMyTrip
4.2",Bangalore,1001 to 5000 Employees,2000,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Senior Data Scientist - India Product,₹744K - ₹984K (Glassdoor Est.),"Company Description
Twitter serves the public conversation because conversation is a force for good in the world. The opportunity to help the world connect, debate, learn, and solve problems is what draws us to careers at Twitter, and it’s what keeps us here.

Job Description
What You’ll Do:
Twitter’s mission is to be a global platform for public conversation. As part of this mission, we are committed to delivering a tailored experience for our growth markets around the world starting with India. The Data Science team works closely with full-stack teams including Product, Engineering, Design, and Research and performs advanced analyses, design metrics, and runs experiments to improve our product for Global markets. Your work will advance a deep understanding of how users are using our product, inform product decisions, and influence the company strategy.
Who You Are:
You have a broad and deep technical background in data science and analytics and are proficient at analyzing large structured and unstructured datasets to derive insights. You are highly technical and hands-on but also demonstrate a strong product mindset. You provide strong technical mentorship to other data scientists and uplevel the overall technical bar of the DS team.
You take responsibility for the group’s short-term and long-term strategy, define the team's roadmap, success metrics, and priorities in close collaboration with multi-functional partners. You drive a culture of trust, respect, and inclusion within your teams.
You are great at:
Delivering actionable results through your combination of data science solutions, product thinking, statistical knowledge, and deep understanding of data.
Lead from the front in terms of developing a new hypothesis and connecting observed customer behavior to potential product solutions
Mastering a fluid, open-ended mandate and possess a 0 to 1 mentality when it comes to crafting solutions
Collaborating with product managers, engineers, designers, and user research to drive product impact
Distilling complex analytical results into presentable, digestible, and actionable feedback for product and engineering teams
Leading and prioritizing projects
Creating a culture of rigor and scientific inquiry
Understanding consumer products

Qualifications
Requirements:
4+ years experience in data science and quantitative analysis (preferably in an engineering or product role)
Demonstrable first principle problem solving skills
Strong programming skills (Python, R, SQL) and experience using common analysis tools (Hive, Presto, Scalding)
Strong bias to action, creative problem solving mindset, and proactive communication
Preferred Qualifications:
An advanced degree in a quantitative domain such as Computer Science, Machine Learning, Statistics, Operations Research, or similar. Masters and PhD is a plus but not required
Proficiency with ML and data analytics technologies such as Spark, Airflow, TensorFlow, etc.
Prior work experience with building India focused technology products is a plus.

Additional Information
We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.",4.2,"Twitter
4.2",Bangalore,1001 to 5000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,₹477K - ₹663K (Glassdoor Est.),"Job Description :
The Company
nbsp;

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what's now to what's next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.

The Role
nbsp;
We are seeking Data Scientist
nbsp;
Responsibilities

Role Overview:
Explore large datasets to surface useful trends, signals, and segments.The role drives business and industry solutions focused on Big Data and Advanced Analytics. Domain expertise in Manufacturing/Healthcare/Telecom/Financial Services is a key aspect. The role uses analytics to provide predictive, prescriptive, and decisive insight.

Job Description:
Interact with customers to understand business objectives and create analytical strategies to help achieve them.
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Processing, cleansing, and verifying the integrity of data used for analysis.
Analyze and model structured data using advanced statistical methods.
Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.
Analyze data using open source packages and commercial/enterprise applications
Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods.
Selecting features, building and optimizing classifiers using machine learning techniques.
Implement algorithms and software needed to perform analyses.
Drive client engagements focused on Big Data and Advanced Business Analytics.
Doing ad-hoc analysis and presenting results in a clear manner.
• Communicate results and educate others through reports and presentations. Skills Required • Expertise in Data Mining, Data wrangling, and data munging using one or more of the most commonly used data science tools: R, Python, SAS, SPSS, Weka • Experience in end-to-end data science and engineering activities.
Expertise in client engagement, data science consulting type activities.
Must have led a team of data engineers and data scientists in leading data science engagements.
Experience with analytics in IT and IoT space is a plus.
Knowledge and experience in Hadoop (Map Reduce paradigm) etc.
Must be hands-on and must have worked on implementing machine learning and data mining algorithms.
Passion for finding meaning in large data sets and identifying actionable results.
Excellent communication skills (both written and verbal) and interpersonal skills.
Experience working with and transforming large data sets.
Understanding of business value and how this relates to actionable results.
Ability to identify or interpret many inputs and requirements then transforming them into actionable plans.
Ability to take vaguely defined data sets and requirements then proactively identify and partner with needed SMEs to provide interpretations tailored to individual client needs.
Ability to visualize data results into meaningful workflows including charts and graphs
Experience in scripting languages with experience in scripting to integrate software solutions is a plus.
Additional Skills (optional) Scala, Spark, H2O,Mahout, Hive
Product Knowledge: At least 3 of the following: o R, Python (Scikit-learn, numpy, etc), Weka, SAS, SPSS, MATLAB/Octave, Hadoop (Map Reduce programming).
Ability to work in a Linux environment, and process large amounts of data in a cloud environment.
Knowledge in Search Engine: such as Elastic, Apache Lucene/Solr

Qualifications
BE / B Tech / ME / M Tech

We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

0.00-50.00 Years",4.0,"Hitachi
4.0",Pune,10000+ Employees,1910,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist,₹500K (Glassdoor Est.),"Key Responsibilities
Serve as an interface with a sub-group within a business unit or a GIS Domain area for purpose of business and Business intelligence, big data and AI/ML technology strategy alignment, solution discovery, service management, project portfolio mgmt.
Analyzes business requirements and/or issues, converts analysis to functional and technical specifications, and assits in the design and technical development of complex Business intelligence, big data and AI/ML application and platform solutions to meet business requirements. Perform and document application and platform configuration, prepare and execute test scenarios and scripts (unit, integration, performance, regression, acceptance) and data integration. May participate in new technology evaluations.
Provides business Intelligence, big data and AI/ML application and platform support services to meet performance, availability, customer service level agreement, and customer satisfaction targets. Monitors specific IT systems or set of systems for availability, performance and capabilities and reports anomalies through predefined process. Oversees and/or completes root cause analysis and resolution of complex outages or incident trends working with infrastructure and technical teams, support providers and application vendors. Recommends and executes required corrective actions. Participate in evaluation and recommendation of patches, point releases, major upgrades and new systems.
Adheres to and guides junior staff and contingent workers to adhere to GIS project management, software application development, testing, service management, change management, RCA and other relevant processes, standards, governance and controls. May manage execution of sox contols and testing, and support internal and external audits.
Plan and manage small to medium size Business intelligence, Big Data or AI/ML application or platform projects to ensure effective and efficient execution in line with guardrails of scope, timeline, budget and quality. May serve as a Business Intelligence, Big Data, or AI/ML team lead on a medium to large cross functional application process.
Oversees/manages contingent workers performing Business Intelligence, Big Data and AI/ML project and/or support services. Responsible for the selection, onboarding and offboarding of contingent workers in a timely manner. Manges contingent worker project/task assignments and ensure work product quality. Approves contingent worker timesheets/cost.
Skills Required:-
Programming skills:- Python (with working experience in most of common libraries like Scikit , numpy, pandas, mathplotlib, keras, tensorflow /pytorch, nltk, genism, spacy etc)
Good knowledge in statistics and math in deep understanding on ML algorithms and their usage
Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment
Working experience in most of the common Machine Learning techniques related to Time series, Regression, Classification, Clustering, NLP, working with IoT data
Working Knowledge in Deep learning with different NN architectures like CNN, RNN, LSTM, RCNNs, GANs, Transformers, VAE etc with strong hold on Pytorch or Tensrflow libraries.
Knowledge of visualization tools like tableau and cloudera libraries to effectively communicate the results/inferences derived out of data science models
Good to have working exposure in common cloud environments and understanding of robust on premise data science infrastructure.
Nice to have understanding of big data related technologies, MLOps and AWS/Azure cloud.
Functional Knowledge
Demonstrates conceptual and practical expertise in own discipline and basic knowledge of related disciplines
Business Expertise
Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market
Leadership
Acts as a resource for colleagues with less experience; may lead small projects with manageable risks and resource requirements
Problem Solving
Solves complex problems; takes a new perspective on existing solutions; exercises judgment based on the analysis of multiple sources of information
Impact
Impacts a range of customer, operational, project or service activities within own team and other related teams; works within broad guidelines and policies
interpersonal Skills
Explains difficult or sensitive information; works to build consensus
Qualifications
Education:
Bachelor's Degree
Skills
Certifications:
Languages:
Years of Experience:
2 - 4 Years
Work Experience:
Additional Information
Travel:
Yes, 10% of the Time
Relocation Eligible:
Yes
Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities.",3.9,"Applied Materials Inc.
3.9",Bangalore,10000+ Employees,1967,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,-1,"About the Company
Meesho is India’s top reselling platform, used by more than 1 million resellers across the country. Resellers are small business owners and home entrepreneurs who sell stuff using Meesho, within their extended social circles. Meesho is reimagining e-commerce for India, and building a platform for the next 20 million entrepreneurs in the country.
Meesho is one of the fastest growing startups in the world, and is backed by top investors globally, including DST Global, YCombinator and Sequoia. You can read more about Meesho’s journey on TechCrunch.
About the role
As a data driven organisation with the core mission of empowering 20 million entrepreneurs throughout the country, Data scientists are an integral part of the Meesho team. You'll develop models and run experiments to infer insights from hard data that meaningfully impacts our 1Million+ resellers. From improving our product usability to identifying new growth opportunities data scientists help all teams within Meesho develop effective solutions.
Here are some of the problems you'll be working on: -
Understanding reseller preferences to provide them with the most relevant products
Modelling which resellers will be the most impacted by changes in our incentive structures
Designing discount programs to help our resellers sell more
Inferring insights from our existing data to identify new growth opportunities
Designing experiments to improve usability across our product suite
How can you help resellers better recognise end customer preferences to improve their revenue?
Using data to identify bottlenecks that helps our suppliers meet their SLA requirements
What frontend visualisations will best help category managers understand the current demand for products?
Modelling seasonal demand to predict key organisational metrics
Mandatory Requirements:-
Bachelor’s Degree from a Tier 1 school (IIT, NIT, IIIT, BITS, DCE)
1-3 years of experience as a Data Scientist
Familiarity with concepts like Neural Networks, Machine Learning etc and tools like SQL, R, Python
Capabilities The ideal candidate for this role has:-
A good understanding of and belief in Meesho’s business model and product
Strong understanding of Statistics and Linear Algebra
Strong understanding of hypothesis/model testing and ability to identify common model testing errors like overfitting, underfitting, type I and type II errors
Experience designing and running A/B tests and drawing insights from them
Familiarity with Python or R, proficiency with SQL
Strong communication skills to explain your analysis
Bonus points We will prefer candidates who have:-
A Computer Science degree
Experience in working on personalization or other ML problems
Familiarity with Big Data tech stack like Apache Spark, Hadoop, Redshift",3.6,"Meesho
3.6",Bangalore,501 to 1000 Employees,2015,Company - Private,"Department, Clothing, & Shoe Shops",Retail,Unknown / Non-Applicable
Data Scientist,₹579K - ₹900K (Glassdoor Est.),"Job Description
IMG Systems, Inc. seeks Master’s+1yr/Bachelor’s+5yrs exp/equiv. Data Scientist (IMGDS18): Data Visualization, Natural Language Processing (NLP), Machine Learning (ML), Python, Numpy. Mail resume with job ID to: HR, 400 Chisholm Place, Suite 414, Plano, TX 75075. Travel to unanticipated work sites throughout the U.S. Foreign equiv. accepted.",3.1,"IMG Systems
3.1",Hyderābād,1 to 50 Employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
Data Scientist,₹360K - ₹730K (Glassdoor Est.),"Job Title
Data Scientist
Job Description
Data Scientist (KHE India)
Do you have a passion for using your skills to develop innovative technologies ? Are you interested in working on a team of professionals at a globally respected education organization and using your talents for building solutions that help thousands of students achieve success ? If so, join us and take your career to the next level. We are building a team of talented individuals to work on innovative products for education.
The Data Scientist role is a creative problem solver who utilizes statistical/mathematical principles and modeling skills to uncover new insights that will significantly and meaningfully impact business decisions and actions. She/he applies their data science expertise in identifying, defining and executing state-of-art techniques for academic opportunities and business objectives in collaboration with other Analytics team members and Strategic Business Partners. The Data Scientist will execute analyses & outputs spanning predictive analytics, multivariate analysis, data/text mining, pattern recognition, artificial intelligence and machine learning.
Successful candidates will have good communication and presentation skills, critical thinking skills, and the ability to break down complex problems. Quick learners are preferred over many years of experience, and associates who aspire to make a difference over those who aim to just fill orders.
Key Responsibilities:
Perform the full range of predictive/advanced analytics and data science methodologies, techniques and outputs associated with the area of expertise
Extract, manipulate, analyze & interpret data from various corporate data sources developing advanced analytic solutions, deriving key observations, findings, insights, and formulating actionable recommendations
Generate clearly understood and intuitive data science / advanced analytics outputs
Participate in best practice sharing and communication platform for advancement of the data science discipline
Comply with established Service Level Agreements to ensure timely, high quality deliverables with value-add recommendations, clearly articulated key findings and observations
Collaborate and help other data scientists
Present impact, insights, outcomes & recommendations to key business partners and stakeholders.
Other duties as assigned.
Qualifications:
Bachelor's Degree (B.A./B.S.) or Master’s Degree (M.A./M.S.) in Computer Science, Statistics, Mathematics, Machine Learning, Physics, or similar degree
2-5 years of experience in advanced & predictive analytics discipline in a digitally advanced industry focusing on strategic initiatives, marketing and/or operations
Advanced knowledge of best-in-class analytic software tools and languages: Python, SQL, R, SAS, Tableau, Excel etc.
Expertise in statistical methods, statistical analysis, data visualization, and data mining techniques.
Advanced proficiency in SQL, Excel (advanced functions & pivots), and Powerpoint.
Knowledge of best-in-class technology ""big data"" platforms and cloud based technology is a plus.
Strong Critical thinking skills to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems
Experience in partnering with IT, marketing operations & business operations to deploy predictive analytic solutions
Ability to translate/communicate complex analytical/statistical/mathematical concepts with non-technical audience
Strong written and verbal communications skills, as well as presentation skills
Location
Bangalore, KA, India
Additional Locations
Employee Type
Employee
Job Functional Area
Data Science & Analytics
Kaplan is an Equal Opportunity Employer",3.4,"Kaplan
3.4",Bangalore,10000+ Employees,1938,Subsidiary or Business Segment,Education Training Service,Education,$2 to $5 billion (USD)
Data Scientist,-1,"""Responsibilities: Passion for learning new technologies and be up to date with the scientific research community. Work in technical teams in development, deployment, and application of machine learning solutions, leveraging technical components and explaining the modelling decisions Take responsibility for insights, reports and explanability of the decisions taken by predictive models Responsible for taking an idea from concept to production thoroughly with feedback from all stakeholders. Skills Required: Must have hands-on experience: Pyspark, Kafka, Redshift, APIs, Flask, AWS and Docker. Must have minimum of 4+ years of industry experience in developing data science models. Deep understanding and experience in the field of Statistical Modelling, Statistical Analysis and Machine Learning Must have thorough mathematical knowledge of correlation/causation, decision trees, classification and regression models, recommenders, probability and stochastic processes, distributions, priors and posteriors. Skilled at scientific programming languages such as Python, R, Matlab and writing deployable code into production. Familiarity with R, Apache Spark, and other scientific python/R modules is a must. Qualifications Bachelors in Computer Science/ Statistics/Econometrics/Applied Mathematics/Applied Statistics/Operations Research is a must Masters in the above fields is good to have.""",3.6,"Larsen & Toubro Infotech Limited
3.6",India,10000+ Employees,1997,Company - Public,IT Service,Information Technology,Unknown / Non-Applicable
Data Scientist,₹432K - ₹800K (Glassdoor Est.),"5+ Years
Coimbatore | Chennai

If you are an active individual who is passionate and driven to learn and lead, we will cheer you on. We’re a fun
and collaborative workspace that cares and commits to your betterment.

If you’re a Data Scientist, scroll further, please.

What’s interesting about this role?

Apart from being a part of a successful team and a successful project, you will play an active role in helping
Payoda and businesses around the world transform for the better. You will also be an owner and catalyst in the

following:
We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to
create real-time, data driven solutions for flag bearing organizations in Telecom and FinTech domains.

You are expected to develop, drive, and deliver data-based solutions and make technical innovations
happen.

You will have the opportunity to use cutting-edge technology across all stages of model development and
data management lifecycle.

You will have the opportunity to use big data technologies to tame real-world data science scenarios

What’s it going to take?

Well, we believe it takes a great deal of skill, passion, and perseverance to make this role successful. Here are a

few more requirements that are essential:
Excellent understanding of Machine Learning algorithms

Hands-on data scrapping, data exploration, hypothesis building, and model development

Excellent understanding of deep learning and NLP concepts

Hands-on Scikit-learn, Tensor flow, Pytorch like frameworks

Good command over Python and R

Exposure to Big data stack is good to have

But in addition to all this technical experience and expertise, if you have great communication skills and a strong
work ethic, take ownership of duties and perform well against timelines, you’d be the best fit for us.",4.5,"Payoda
4.5",Coimbatore,201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Analytics Consultant,₹607K - ₹764K (Glassdoor Est.),"Job
Description

1. Solve business problems which involves:
Brainstorm with clients/onsite and internal teams to define a problem
Translate the business problem into an analytical problem
Identify internal and external data requirements for solving the analytical problem
Solving the analytical problem using concepts from mathematics, statistics, Artificial Intelligence and Machine learning
Translate the solution to a business solution and create artefacts that can help communicate the solution to clients like dashboards, power point slides, excel sheets etc.
2. Understand challenges faced by our clients in the context of their business and industry

You can expect to:
Work hands on and provide thought leadership to real life business problem
Use analytical thinking and apply complex mathematical techniques
Work in a challenging environment with smart peer group

You have:
At least 5 years of working experience in analytics
Strong analytical/logical thinking/people management skills and communication skills.
Proficient in: SQL, R or Python b. Visualization tools like Tableau or SpotFire,
Experience in statistical techniques such as Regression, Clustering & Time Series Forecasting, etc.
Bachelors in Engineering or Masters in Statistics/Economics

Skills Required

SQL,R,Python,Tableau,Excel

Location

Bangalore, Karnataka, India

Education/Qualification

Bachelors in Engineering or Masters in Statistics/Economics

Years Of Experience

5 to 7 Years

Designation

Analytics Consultant

Apply",3.7,"Tredence
3.7",Bangalore,501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$25 to $50 million (USD)
Data Scientist -Machine Learning (Commerce BU),₹558K - ₹578K (Glassdoor Est.),"Our people are our most important asset. Thank you for considering this opportunity as the next step in your career!

The Data Science and Machine Learning team works closely with sales, product and engineering teams to design and implement the next generation of retail solutions. Data Science team members bear the heavy burden of turning both small, sparse and massive data into actionable insights with measurable improvements to the customer bottom line. They use rigorous analysis and repeatable processes to implement both black box and interpretable models.
Independently, or alongside junior scientists, implement machine learning models by Procuring data from platform, client and public data sources
Implementing data enrichment and cleansing routines
Implementing features, preparing modeling data sets, feature selection, etc.
Evaluating candidate models, selecting and reporting on test performance of final one
Ensuring proper runtime deployment of models, and
Implementing runtime monitoring of model inputs and performance in order to ensure continued model stability
Work with product, sales and engineering teams helping shape up the final solution
Use data to understand patterns, come up with and test hypothesis; iterate
Help prepare sales materials, estimate hardware requirements, etc.
Attend client meetings, online and onsite, to discuss new and current functionality
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Supply Chain Nation

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out Blue Yonder's blog - Supply Chain Nation - the platform for supply chain trends and innovations.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",4.3,"Blue Yonder
4.3",Bangalore,5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
Machine Learning Scientist,₹558K - ₹578K (Glassdoor Est.),"JOB DESCRIPTION

Job Requirements

Machine Learning Scientist, Hyderabad

This is an open invitation for India’s best in class Machine Learning Scientist - Product Engineering to join the disruptive technology and thought leader in the global Talent Relationship Marketing Cloud Platform. If you live & breath engineering by solving not only engineering problems but are passionate about building state of the art products that help a billion+ job seekers, then welcome to Phenom People. At Phenom we build products that connect right fit talented candidates (job seekers) with companies seeking for Phenomenal talent. We help companies establish, nurture and mature relationship with talented candidates through the hiring life-cycle. Based in Greater Philadelphia area, we server global fortune 500 companies. To know more about Phenom People, visit phenompeople.com
Looking for talented engineers with interests in Machine Learning & Data Science
Build amazing products, you will shape the future of our products
Work Experience

What you will do:
Design and implement machine learning, information extraction, probabilistic matching algorithms and models
Research and develop innovative, scalable and dynamic solutions to hard problems
Work closely with Machine Learning Scientists (PhDs), ML engineers, data scientists and data engineers to address challenges head on
Use the latest advances in NLP, data science and machine leaning to enhance our products and create new experiences
Scale machine learning algorithm that powers our platform to support our growing customer base and increasing data volume
Be a valued contributor in shaping the future of our products and services
You will be part of our Data Science & Algorithms team and collaborate product management and other team members
Be part of a fast pace, fun focused, agile team
1+ years of industry experience (Not Mandatory)
Ph.d in computer science, information systems, or similar technical field
Strong mathematics, statistics, and data analytics
Solid coding and engineering skills preferably in Machine Learning (not mandatory)
Proficient in Java, Python, and Scala
Industry experience building and productionizing end-to-end systems
Knowledge of Information Extraction, NLP algorithms coupled with Deep Learning
Experience with data processing and storage frameworks like Hadoop, Spark, Kafka etc.
Education
Ph.D in computer science, information systems, or similar technical field
Benefits
Competitive salary for a startup
Gain experience rapidly
Work directly with executive team
Fast-paced work environment",4.3,"Phenom People
4.3",Hyderābād,501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist - Advanced Analytics,₹558K - ₹578K (Glassdoor Est.),"13-Jan-2021

Job ID
310433BR
{""QuestionName"":""Job Description"",""AnswerValue"":""70 tactical buyers are supporting both commercial and NTO towers out of Prague NGSC, covering region Europe, Switzerland, Middle East and North America.
Your responsibilities include, but are not limited to:
• Manage the creation, deployment and on -going maintenance of metrics and benchmark to monitor the performance of the global process and its enabling system(s).
• Responsible for the management of the end-to-end procurement process by enabling globally defined solutions and driving the local adoption in order to achieve Sourcing excellence.
• Support the process super user community, ensuring regular engagement, training (including process & tool demo) and collection of feedback.
• Provide guidance and support to the regions and countries and identify areas requiring process and systems reviews.
• Coordinate and support process reviews in the regions and countries and provide direction to develop and implement action plans to address identified gaps. -Support the execution of the region or countries performance improvement plans.
• Champion specific projects and change management activities to fully establish and continuously improve the process.
• Facilitate the discussion with key stakeholders, within procurement and with other functions, to identify opportunities and to drive full process adoption.

Position Title
Data Scientist - Advanced Analytics",4.2,"Novartis
4.2",Hyderābād,10000+ Employees,1996,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceuticals,$10+ billion (USD)
